866 -0.782958 -0.622075 0
867 -0.782958 -0.622075 0
868 -0.756995 -0.653421 0
869 -0.756995 -0.653421 0
870 -0.756995 -0.653421 0
871 -0.756995 -0.653421 0
872 -0.756995 -0.653421 0
873 -0.756995 -0.653421 0
874 -0.756995 -0.653421 0
875 -0.756995 -0.653421 0
876 -0.756995 -0.653421 0
877 -0.756995 -0.653421 0
878 -0.756995 -0.653421 0
879 -0.756995 -0.653421 0
880 -0.756995 -0.653421 0
881 -0.756995 -0.653421 0
882 -0.756995 -0.653421 0
883 -0.756995 -0.653421 0
884 -0.756995 -0.653421 0
885 -0.756995 -0.653421 0
886 -0.756995 -0.653421 0
887 -0.756995 -0.653421 0
888 -0.756995 -0.653421 0
889 -0.756995 -0.653421 0
890 -0.756995 -0.653421 0
891 -0.756995 -0.653421 0
892 -0.756995 -0.653421 0
893 -0.756995 -0.653421 0
894 -0.756995 -0.653421 0
895 -0.756995 -0.653421 0
896 -0.756995 -0.653421 0
897 -0.756995 -0.653421 0
898 -0.756995 -0.653421 0
899 -0.756995 -0.653421 0
900 -0.756995 -0.653421 0
901 -0.756995 -0.653421 0
902 -0.756995 -0.653421 0
903 -0.756995 -0.653421 0
904 -0.756995 -0.653421 0
905 -0.756995 -0.653421 0
906 -0.756995 -0.653421 0
907 -0.756995 -0.653421 0
908 -0.756995 -0.653421 0
909 -0.756995 -0.653421 0
910 -0.756995 -0.653421 0
911 -0.756995 -0.653421 0
912 -0.756995 -0.653421 0
913 -0.756995 -0.653421 0
914 -0.756995 -0.653421 0
915 -0.756995 -0.653421 0
916 -0.756995 -0.653421 0
917 -0.756995 -0.653421 0
918 -0.756995 -0.653421 0
919 -0.728969 -0.684547 0
920 -0.728969 -0.684547 0
921 -0.728969 -0.684547 0
922 -0.728969 -0.684547 0
923 -0.728969 -0.684547 0
924 -0.728969 -0.684547 0
925 -0.728969 -0.684547 0
926 -0.728969 -0.684547 0
927 -0.728969 -0.684547 0
928 -0.728969 -0.684547 0
929 -0.728969 -0.684547 0
930 -0.728969 -0.684547 0
931 -0.728969 -0.684547 0
932 -0.728969 -0.684547 0
933 -0.728969 -0.684547 0
934 -0.728969 -0.684547 0
935 -0.728969 -0.684547 0
936 -0.728969 -0.684547 0
937 -0.728969 -0.684547 0
938 -0.728969 -0.684547 0
939 -0.728969 -0.684547 0
940 -0.728969 -0.684547 0
941 -0.728969 -0.684547 0
942 -0.728969 -0.684547 0
943 -0.728969 -0.684547 0
944 -0.728969 -0.684547 0
945 -0.728969 -0.684547 0
946 -0.728969 -0.684547 0
947 -0.728969 -0.684547 0
948 -0.728969 -0.684547 0
949 -0.728969 -0.684547 0
950 -0.728969 -0.684547 0
951 -0.728969 -0.684547 0
952 -0.728969 -0.684547 0
953 -0.728969 -0.684547 0
954 -0.728969 -0.684547 0
955 -0.728969 -0.684547 0
956 -0.728969 -0.684547 0
957 -0.728969 -0.684547 0
958 -0.728969 -0.684547 0
959 -0.728969 -0.684547 0
960 -0.728969 -0.684547 0
961 -0.728969 -0.684547 0
962 -0.728969 -0.684547 0
963 -0.728969 -0.684547 0
964 -0.728969 -0.684547 0
965 -0.728969 -0.684547 0
966 -0.728969 -0.684547 0
967 -0.728969 -0.684547 0
968 -0.728969 -0.684547 0
969 -0.728969 -0.684547 0
970 -0.700508 -0.713644 0
971 -0.700508 -0.713644 0
972 -0.700508 -0.713644 0
973 -0.700508 -0.713644 0
974 -0.700508 -0.713644 0
975 -0.700508 -0.713644 0
976 -0.700508 -0.713644 0
977 -0.700508 -0.713644 0
978 -0.700508 -0.713644 0
979 -0.700508 -0.713644 0
980 -0.700508 -0.713644 0
981 -0.700508 -0.713644 0
982 -0.700508 -0.713644 0
983 -0.700508 -0.713644 0
984 -0.700508 -0.713644 0
985 -0.700508 -0.713644 0
986 -0.700508 -0.713644 0
987 -0.700508 -0.713644 0
988 -0.700508 -0.713644 0
989 -0.700508 -0.713644 0
990 -0.700508 -0.713644 0
991 -0.700508 -0.713644 0
992 -0.700508 -0.713644 0
993 -0.700508 -0.713644 0
994 -0.700508 -0.713644 0
995 -0.700508 -0.713644 0
996 -0.700508 -0.713644 0
997 -0.700508 -0.713644 0
998 -0.700508 -0.713644 0
999 -0.700508 -0.713644 0
1000 -0.700508 -0.713644 0
1001 -0.700508 -0.713644 0
1002 -0.700508 -0.713644 0
1003 -0.700508 -0.713644 0
1004 -0.700508 -0.713644 0
1005 -0.700508 -0.713644 0
1006 -0.700508 -0.713644 0
1007 -0.700508 -0.713644 0
1008 -0.700508 -0.713644 0
1009 -0.700508 -0.713644 0
1010 -0.700508 -0.713644 0
1011 -0.700508 -0.713644 0
1012 -0.700508 -0.713644 0
1013 -0.700508 -0.713644 0
1014 -0.700508 -0.713644 0
1015 -0.700508 -0.713644 0
1016 -0.700508 -0.713644 0
1017 -0.700508 -0.713644 0
1018 -0.700508 -0.713644 0
1019 -0.700508 -0.713644 0
1020 -0.700508 -0.713644 0
1021 -0.668251 -0.743936 0
1022 -0.668251 -0.743936 0
1023 -0.668251 -0.743936 0
1024 -0.668251 -0.743936 0
1025 -0.668251 -0.743936 0
1026 -0.668251 -0.743936 0
1027 -0.668251 -0.743936 0
1028 -0.668251 -0.743936 0
1029 -0.668251 -0.743936 0
1030 -0.668251 -0.743936 0
1031 -0.668251 -0.743936 0
1032 -0.668251 -0.743936 0
1033 -0.668251 -0.743936 0
1034 -0.668251 -0.743936 0
1035 -0.668251 -0.743936 0
1036 -0.668251 -0.743936 0
1037 -0.668251 -0.743936 0
1038 -0.668251 -0.743936 0
1039 -0.668251 -0.743936 0
1040 -0.668251 -0.743936 0
1041 -0.668251 -0.743936 0
1042 -0.668251 -0.743936 0
1043 -0.668251 -0.743936 0
1044 -0.668251 -0.743936 0
1045 -0.668251 -0.743936 0
1046 -0.668251 -0.743936 0
1047 -0.668251 -0.743936 0
1048 -0.668251 -0.743936 0
1049 -0.668251 -0.743936 0
1050 -0.668251 -0.743936 0
1051 -0.668251 -0.743936 0
1052 -0.668251 -0.743936 0
1053 -0.668251 -0.743936 0
1054 -0.668251 -0.743936 0
1055 -0.668251 -0.743936 0
1056 -0.668251 -0.743936 0
1057 -0.668251 -0.743936 0
1058 -0.668251 -0.743936 0
1059 -0.668251 -0.743936 0
1060 -0.668251 -0.743936 0
1061 -0.668251 -0.743936 0
1062 -0.668251 -0.743936 0
1063 -0.668251 -0.743936 0
1064 -0.668251 -0.743936 0
1065 -0.668251 -0.743936 0
1066 -0.668251 -0.743936 0
1067 -0.668251 -0.743936 0
1068 -0.668251 -0.743936 0
1069 -0.668251 -0.743936 0
1070 -0.668251 -0.743936 0
1071 -0.668251 -0.743936 0
1072 -0.637424 -0.770513 0
1073 -0.637424 -0.770513 0
1074 -0.637424 -0.770513 0
1075 -0.637424 -0.770513 0
1076 -0.637424 -0.770513 0
1077 -0.637424 -0.770513 0
1078 -0.637424 -0.770513 0
1079 -0.637424 -0.770513 0
1080 -0.637424 -0.770513 0
1081 -0.637424 -0.770513 0
1082 -0.637424 -0.770513 0
1083 -0.637424 -0.770513 0
1084 -0.637424 -0.770513 0
1085 -0.637424 -0.770513 0
1086 -0.637424 -0.770513 0
1087 -0.637424 -0.770513 0
1088 -0.637424 -0.770513 0
1089 -0.637424 -0.770513 0
1090 -0.637424 -0.770513 0
1091 -0.637424 -0.770513 0
1092 -0.637424 -0.770513 0
1093 -0.637424 -0.770513 0
1094 -0.637424 -0.770513 0
1095 -0.637424 -0.770513 0
1096 -0.637424 -0.770513 0
1097 -0.637424 -0.770513 0
1098 -0.637424 -0.770513 0
1099 -0.637424 -0.770513 0
1100 -0.637424 -0.770513 0
1101 -0.637424 -0.770513 0
1102 -0.637424 -0.770513 0
1103 -0.637424 -0.770513 0
1104 -0.637424 -0.770513 0
1105 -0.637424 -0.770513 0
1106 -0.637424 -0.770513 0
1107 -0.637424 -0.770513 0
1108 -0.637424 -0.770513 0
1109 -0.637424 -0.770513 0
1110 -0.637424 -0.770513 0
1111 -0.637424 -0.770513 0
1112 -0.637424 -0.770513 0
1113 -0.637424 -0.770513 0
1114 -0.637424 -0.770513 0
1115 -0.637424 -0.770513 0
1116 -0.637424 -0.770513 0
1117 -0.637424 -0.770513 0
1118 -0.637424 -0.770513 0
1119 -0.637424 -0.770513 0
1120 -0.637424 -0.770513 0
1121 -0.637424 -0.770513 0
1122 -0.637424 -0.770513 0
1123 -0.604599 -0.79653 0
1124 -0.604599 -0.79653 0
1125 -0.604599 -0.79653 0
1126 -0.604599 -0.79653 0
1127 -0.604599 -0.79653 0
1128 -0.604599 -0.79653 0
1129 -0.604599 -0.79653 0
1130 -0.604599 -0.79653 0
1131 -0.604599 -0.79653 0
1132 -0.604599 -0.79653 0
1133 -0.604599 -0.79653 0
1134 -0.604599 -0.79653 0
1135 -0.604599 -0.79653 0
1136 -0.604599 -0.79653 0
1137 -0.604599 -0.79653 0
1138 -0.604599 -0.79653 0
1139 -0.604599 -0.79653 0
1140 -0.604599 -0.79653 0
1141 -0.604599 -0.79653 0
1142 -0.604599 -0.79653 0
1143 -0.604599 -0.79653 0
1144 -0.604599 -0.79653 0
1145 -0.604599 -0.79653 0
1146 -0.604599 -0.79653 0
1147 -0.604599 -0.79653 0
1148 -0.604599 -0.79653 0
1149 -0.604599 -0.79653 0
1150 -0.604599 -0.79653 0
1151 -0.604599 -0.79653 0
1152 -0.604599 -0.79653 0
1153 -0.604599 -0.79653 0
1154 -0.604599 -0.79653 0
1155 -0.604599 -0.79653 0
1156 -0.604599 -0.79653 0
1157 -0.604599 -0.79653 0
1158 -0.604599 -0.79653 0
1159 -0.604599 -0.79653 0
1160 -0.604599 -0.79653 0
1161 -0.604599 -0.79653 0
1162 -0.604599 -0.79653 0
1163 -0.604599 -0.79653 0
1164 -0.604599 -0.79653 0
1165 -0.604599 -0.79653 0
1166 -0.604599 -0.79653 0
1167 -0.604599 -0.79653 0
1168 -0.604599 -0.79653 0
1169 -0.604599 -0.79653 0
1170 -0.604599 -0.79653 0
1171 -0.604599 -0.79653 0
1172 -0.604599 -0.79653 0
1173 -0.604599 -0.79653 0
1174 -0.571685 -0.820473 0
1175 -0.571685 -0.820473 0
1176 -0.571685 -0.820473 0
1177 -0.571685 -0.820473 0
1178 -0.571685 -0.820473 0
1179 -0.571685 -0.820473 0
1180 -0.571685 -0.820473 0
1181 -0.571685 -0.820473 0
1182 -0.571685 -0.820473 0
1183 -0.571685 -0.820473 0
1184 -0.571685 -0.820473 0
1185 -0.571685 -0.820473 0
1186 -0.571685 -0.820473 0
1187 -0.571685 -0.820473 0
1188 -0.571685 -0.820473 0
1189 -0.571685 -0.820473 0
1190 -0.571685 -0.820473 0
1191 -0.571685 -0.820473 0
1192 -0.571685 -0.820473 0
1193 -0.571685 -0.820473 0
1194 -0.571685 -0.820473 0
1195 -0.571685 -0.820473 0
1196 -0.571685 -0.820473 0
1197 -0.571685 -0.820473 0
1198 -0.571685 -0.820473 0
1199 -0.571685 -0.820473 0
1200 -0.571685 -0.820473 0
1201 -0.571685 -0.820473 0
1202 -0.571685 -0.820473 0
1203 -0.571685 -0.820473 0
1204 -0.571685 -0.820473 0
1205 -0.571685 -0.820473 0
1206 -0.571685 -0.820473 0
1207 -0.571685 -0.820473 0
1208 -0.571685 -0.820473 0
1209 -0.571685 -0.820473 0
1210 -0.571685 -0.820473 0
1211 -0.571685 -0.820473 0
1212 -0.571685 -0.820473 0
1213 -0.571685 -0.820473 0
1214 -0.571685 -0.820473 0
1215 -0.571685 -0.820473 0
1216 -0.571685 -0.820473 0
1217 -0.571685 -0.820473 0
1218 -0.571685 -0.820473 0
1219 -0.571685 -0.820473 0
1220 -0.571685 -0.820473 0
1221 -0.571685 -0.820473 0
1222 -0.571685 -0.820473 0
1223 -0.571685 -0.820473 0
1224 -0.571685 -0.820473 0
1225 -0.534827 -0.844961 0
1226 -0.534827 -0.844961 0
1227 -0.534827 -0.844961 0
1228 -0.534827 -0.844961 0
1229 -0.534827 -0.844961 0
1230 -0.534827 -0.844961 0
1231 -0.534827 -0.844961 0
1232 -0.534827 -0.844961 0
1233 -0.534827 -0.844961 0
1234 -0.534827 -0.844961 0
1235 -0.534827 -0.844961 0
1236 -0.534827 -0.844961 0
1237 -0.534827 -0.844961 0
1238 -0.534827 -0.844961 0
1239 -0.534827 -0.844961 0
1240 -0.534827 -0.844961 0
1241 -0.534827 -0.844961 0
1242 -0.534827 -0.844961 0
1243 -0.534827 -0.844961 0
1244 -0.534827 -0.844961 0
1245 -0.534827 -0.844961 0
1246 -0.534827 -0.844961 0
1247 -0.534827 -0.844961 0
1248 -0.534827 -0.844961 0
1249 -0.534827 -0.844961 0
1250 -0.534827 -0.844961 0
1251 -0.534827 -0.844961 0
1252 -0.534827 -0.844961 0
1253 -0.534827 -0.844961 0
1254 -0.534827 -0.844961 0
1255 -0.534827 -0.844961 0
1256 -0.534827 -0.844961 0
1257 -0.534827 -0.844961 0
1258 -0.534827 -0.844961 0
1259 -0.534827 -0.844961 0
1260 -0.534827 -0.844961 0
1261 -0.534827 -0.844961 0
1262 -0.534827 -0.844961 0
1263 -0.534827 -0.844961 0
1264 -0.534827 -0.844961 0
1265 -0.534827 -0.844961 0
1266 -0.534827 -0.844961 0
1267 -0.534827 -0.844961 0
1268 -0.534827 -0.844961 0
1269 -0.534827 -0.844961 0
1270 -0.534827 -0.844961 0
1271 -0.534827 -0.844961 0
1272 -0.534827 -0.844961 0
1273 -0.534827 -0.844961 0
1274 -0.534827 -0.844961 0
1275 -0.534827 -0.844961 0
1276 -0.5 -0.866025 0
1277 -0.5 -0.866025 0
1278 -0.5 -0.866025 0
1279 -0.5 -0.866025 0
1280 -0.5 -0.866025 0
1281 -0.5 -0.866025 0
1282 -0.5 -0.866025 0
1283 -0.5 -0.866025 0
1284 -0.5 -0.866025 0
1285 -0.5 -0.866025 0
1286 -0.5 -0.866025 0
1287 -0.5 -0.866025 0
1288 -0.5 -0.866025 0
1289 -0.5 -0.866025 0
1290 -0.5 -0.866025 0
1291 -0.5 -0.866025 0
1292 -0.5 -0.866025 0
1293 -0.5 -0.866025 0
1294 -0.5 -0.866025 0
1295 -0.5 -0.866025 0
1296 -0.5 -0.866025 0
1297 -0.5 -0.866025 0
1298 -0.5 -0.866025 0
1299 -0.5 -0.866025 0
1300 -0.5 -0.866025 0
1301 -0.5 -0.866025 0
1302 -0.5 -0.866025 0
1303 -0.5 -0.866025 0
1304 -0.5 -0.866025 0
1305 -0.5 -0.866025 0
1306 -0.5 -0.866025 0
1307 -0.5 -0.866025 0
1308 -0.5 -0.866025 0
1309 -0.5 -0.866025 0
1310 -0.5 -0.866025 0
1311 -0.5 -0.866025 0
1312 -0.5 -0.866025 0
1313 -0.5 -0.866025 0
1314 -0.5 -0.866025 0
1315 -0.5 -0.866025 0
1316 -0.5 -0.866025 0
1317 -0.5 -0.866025 0
1318 -0.5 -0.866025 0
1319 -0.5 -0.866025 0
1320 -0.5 -0.866025 0
1321 -0.5 -0.866025 0
1322 -0.5 -0.866025 0
1323 -0.5 -0.866025 0
1324 -0.5 -0.866025 0
1325 -0.5 -0.866025 0
1326 -0.5 -0.866025 0
1327 -0.463296 -0.886204 0
1328 -0.463296 -0.886204 0
1329 -0.463296 -0.886204 0
1330 -0.463296 -0.886204 0
1331 -0.463296 -0.886204 0
1332 -0.463296 -0.886204 0
1333 -0.463296 -0.886204 0
1334 -0.463296 -0.886204 0
1335 -0.463296 -0.886204 0
1336 -0.463296 -0.886204 0
1337 -0.463296 -0.886204 0
1338 -0.463296 -0.886204 0
1339 -0.463296 -0.886204 0
1340 -0.463296 -0.886204 0
1341 -0.463296 -0.886204 0
1342 -0.463296 -0.886204 0
1343 -0.463296 -0.886204 0
1344 -0.463296 -0.886204 0
1345 -0.463296 -0.886204 0
1346 -0.463296 -0.886204 0
1347 -0.463296 -0.886204 0
1348 -0.463296 -0.886204 0
1349 -0.463296 -0.886204 0
1350 -0.463296 -0.886204 0
1351 -0.463296 -0.886204 0
1352 -0.463296 -0.886204 0
1353 -0.463296 -0.886204 0
1354 -0.463296 -0.886204 0
1355 -0.463296 -0.886204 0
1356 -0.463296 -0.886204 0
1357 -0.463296 -0.886204 0
1358 -0.463296 -0.886204 0
1359 -0.463296 -0.886204 0
1360 -0.463296 -0.886204 0
1361 -0.463296 -0.886204 0
1362 -0.463296 -0.886204 0
1363 -0.463296 -0.886204 0
1364 -0.463296 -0.886204 0
1365 -0.463296 -0.886204 0
1366 -0.463296 -0.886204 0
1367 -0.463296 -0.886204 0
1368 -0.463296 -0.886204 0
1369 -0.463296 -0.886204 0
1370 -0.463296 -0.886204 0
1371 -0.463296 -0.886204 0
1372 -0.463296 -0.886204 0
1373 -0.463296 -0.886204 0
1374 -0.463296 -0.886204 0
1375 -0.463296 -0.886204 0
1376 -0.463296 -0.886204 0
1377 -0.463296 -0.886204 0
1378 -0.42685 -0.904323 0
1379 -0.42685 -0.904323 0
1380 -0.42685 -0.904323 0
1381 -0.42685 -0.904323 0
1382 -0.42685 -0.904323 0
1383 -0.42685 -0.904323 0
1384 -0.42685 -0.904323 0
1385 -0.42685 -0.904323 0
1386 -0.42685 -0.904323 0
1387 -0.42685 -0.904323 0
1388 -0.42685 -0.904323 0
1389 -0.42685 -0.904323 0
1390 -0.42685 -0.904323 0
1391 -0.42685 -0.904323 0
1392 -0.42685 -0.904323 0
1393 -0.42685 -0.904323 0
1394 -0.42685 -0.904323 0
1395 -0.42685 -0.904323 0
1396 -0.42685 -0.904323 0
1397 -0.42685 -0.904323 0
1398 -0.42685 -0.904323 0
1399 -0.42685 -0.904323 0
1400 -0.42685 -0.904323 0
1401 -0.42685 -0.904323 0
1402 -0.42685 -0.904323 0
1403 -0.42685 -0.904323 0
1404 -0.42685 -0.904323 0
1405 -0.42685 -0.904323 0
1406 -0.42685 -0.904323 0
1407 -0.42685 -0.904323 0
1408 -0.42685 -0.904323 0
1409 -0.42685 -0.904323 0
1410 -0.42685 -0.904323 0
1411 -0.42685 -0.904323 0
1412 -0.42685 -0.904323 0
1413 -0.42685 -0.904323 0
1414 -0.42685 -0.904323 0
1415 -0.42685 -0.904323 0
1416 -0.42685 -0.904323 0
1417 -0.42685 -0.904323 0
1418 -0.42685 -0.904323 0
1419 -0.42685 -0.904323 0
1420 -0.42685 -0.904323 0
1421 -0.42685 -0.904323 0
1422 -0.42685 -0.904323 0
1423 -0.42685 -0.904323 0
1424 -0.42685 -0.904323 0
1425 -0.42685 -0.904323 0
1426 -0.42685 -0.904323 0
1427 -0.42685 -0.904323 0
1428 -0.42685 -0.904323 0
1429 -0.386425 -0.922321 0
1430 -0.386425 -0.922321 0
1431 -0.386425 -0.922321 0
1432 -0.386425 -0.922321 0
1433 -0.386425 -0.922321 0
1434 -0.386425 -0.922321 0
1435 -0.386425 -0.922321 0
1436 -0.386425 -0.922321 0
1437 -0.386425 -0.922321 0
1438 -0.386425 -0.922321 0
1439 -0.386425 -0.922321 0
1440 -0.386425 -0.922321 0
1441 -0.386425 -0.922321 0
1442 -0.386425 -0.922321 0
1443 -0.386425 -0.922321 0
1444 -0.386425 -0.922321 0
1445 -0.386425 -0.922321 0
1446 -0.386425 -0.922321 0
1447 -0.386425 -0.922321 0
1448 -0.386425 -0.922321 0
1449 -0.386425 -0.922321 0
1450 -0.386425 -0.922321 0
1451 -0.386425 -0.922321 0
1452 -0.386425 -0.922321 0
1453 -0.386425 -0.922321 0
1454 -0.386425 -0.922321 0
1455 -0.386425 -0.922321 0
1456 -0.386425 -0.922321 0
1457 -0.386425 -0.922321 0
1458 -0.386425 -0.922321 0
1459 -0.386425 -0.922321 0
1460 -0.386425 -0.922321 0
1461 -0.386425 -0.922321 0
1462 -0.386425 -0.922321 0
1463 -0.386425 -0.922321 0
1464 -0.386425 -0.922321 0
1465 -0.386425 -0.922321 0
1466 -0.386425 -0.922321 0
1467 -0.386425 -0.922321 0
1468 -0.386425 -0.922321 0
1469 -0.386425 -0.922321 0
1470 -0.386425 -0.922321 0
1471 -0.386425 -0.922321 0
1472 -0.386425 -0.922321 0
1473 -0.386425 -0.922321 0
1474 -0.386425 -0.922321 0
1475 -0.386425 -0.922321 0
1476 -0.386425 -0.922321 0
1477 -0.386425 -0.922321 0
1478 -0.386425 -0.922321 0
1479 -0.386425 -0.922321 0
1480 -0.348572 -0.937282 0
1481 -0.348572 -0.937282 0
1482 -0.348572 -0.937282 0
1483 -0.348572 -0.937282 0
1484 -0.348572 -0.937282 0
1485 -0.348572 -0.937282 0
1486 -0.348572 -0.937282 0
1487 -0.348572 -0.937282 0
1488 -0.348572 -0.937282 0
1489 -0.348572 -0.937282 0
1490 -0.348572 -0.937282 0
1491 -0.348572 -0.937282 0
1492 -0.348572 -0.937282 0
1493 -0.348572 -0.937282 0
1494 -0.348572 -0.937282 0
1495 -0.348572 -0.937282 0
1496 -0.348572 -0.937282 0
1497 -0.348572 -0.937282 0
1498 -0.348572 -0.937282 0
1499 -0.348572 -0.937282 0
1500 -0.348572 -0.937282 0
1501 -0.348572 -0.937282 0
1502 -0.348572 -0.937282 0
1503 -0.348572 -0.937282 0
1504 -0.348572 -0.937282 0
1505 -0.348572 -0.937282 0
1506 -0.348572 -0.937282 0
1507 -0.348572 -0.937282 0
1508 -0.348572 -0.937282 0
1509 -0.348572 -0.937282 0
1510 -0.348572 -0.937282 0
1511 -0.348572 -0.937282 0
1512 -0.348572 -0.937282 0
1513 -0.348572 -0.937282 0
1514 -0.348572 -0.937282 0
1515 -0.348572 -0.937282 0
1516 -0.348572 -0.937282 0
1517 -0.348572 -0.937282 0
1518 -0.348572 -0.937282 0
1519 -0.348572 -0.937282 0
1520 -0.348572 -0.937282 0
1521 -0.348572 -0.937282 0
1522 -0.348572 -0.937282 0
1523 -0.348572 -0.937282 0
1524 -0.348572 -0.937282 0
1525 -0.348572 -0.937282 0
1526 -0.348572 -0.937282 0
1527 -0.348572 -0.937282 0
1528 -0.348572 -0.937282 0
1529 -0.348572 -0.937282 0
1530 -0.348572 -0.937282 0
1531 -0.309017 -0.951056 0
1532 -0.309017 -0.951056 0
1533 -0.309017 -0.951056 0
1534 -0.309017 -0.951056 0
1535 -0.309017 -0.951056 0
1536 -0.309017 -0.951056 0
1537 -0.309017 -0.951056 0
1538 -0.309017 -0.951056 0
1539 -0.309017 -0.951056 0
1540 -0.309017 -0.951056 0
1541 -0.309017 -0.951056 0
1542 -0.309017 -0.951056 0
1543 -0.309017 -0.951056 0
1544 -0.309017 -0.951056 0
1545 -0.309017 -0.951056 0
1546 -0.309017 -0.951056 0
1547 -0.309017 -0.951056 0
1548 -0.309017 -0.951056 0
1549 -0.309017 -0.951056 0
1550 -0.309017 -0.951056 0
1551 -0.309017 -0.951056 0
1552 -0.309017 -0.951056 0
1553 -0.309017 -0.951056 0
1554 -0.309017 -0.951056 0
1555 -0.309017 -0.951056 0
1556 -0.309017 -0.951056 0
1557 -0.309017 -0.951056 0
1558 -0.309017 -0.951056 0
1559 -0.309017 -0.951056 0
1560 -0.309017 -0.951056 0
1561 -0.309017 -0.951056 0
1562 -0.309017 -0.951056 0
1563 -0.309017 -0.951056 0
1564 -0.309017 -0.951056 0
1565 -0.309017 -0.951056 0
1566 -0.309017 -0.951056 0
1567 -0.309017 -0.951056 0
1568 -0.309017 -0.951056 0
1569 -0.309017 -0.951056 0
1570 -0.309017 -0.951056 0
1571 -0.309017 -0.951056 0
1572 -0.309017 -0.951056 0
1573 -0.309017 -0.951056 0
1574 -0.309017 -0.951056 0
1575 -0.309017 -0.951056 0
1576 -0.309017 -0.951056 0
1577 -0.309017 -0.951056 0
1578 -0.309017 -0.951056 0
1579 -0.309017 -0.951056 0
1580 -0.309017 -0.951056 0
1581 -0.309017 -0.951056 0
1582 -0.27006 -0.962844 0
1583 -0.27006 -0.962844 0
1584 -0.27006 -0.962844 0
1585 -0.27006 -0.962844 0
1586 -0.27006 -0.962844 0
1587 -0.27006 -0.962844 0
1588 -0.27006 -0.962844 0
1589 -0.27006 -0.962844 0
1590 -0.27006 -0.962844 0
1591 -0.27006 -0.962844 0
1592 -0.27006 -0.962844 0
1593 -0.27006 -0.962844 0
1594 -0.27006 -0.962844 0
1595 -0.27006 -0.962844 0
1596 -0.27006 -0.962844 0
1597 -0.27006 -0.962844 0
1598 -0.27006 -0.962844 0
1599 -0.27006 -0.962844 0
1600 -0.27006 -0.962844 0
1601 -0.27006 -0.962844 0
1602 -0.27006 -0.962844 0
1603 -0.27006 -0.962844 0
1604 -0.27006 -0.962844 0
1605 -0.27006 -0.962844 0
1606 -0.27006 -0.962844 0
1607 -0.27006 -0.962844 0
1608 -0.27006 -0.962844 0
1609 -0.27006 -0.962844 0
1610 -0.27006 -0.962844 0
1611 -0.27006 -0.962844 0
1612 -0.27006 -0.962844 0
1613 -0.27006 -0.962844 0
1614 -0.27006 -0.962844 0
1615 -0.27006 -0.962844 0
1616 -0.27006 -0.962844 0
1617 -0.27006 -0.962844 0
1618 -0.27006 -0.962844 0
1619 -0.27006 -0.962844 0
1620 -0.27006 -0.962844 0
1621 -0.27006 -0.962844 0
1622 -0.27006 -0.962844 0
1623 -0.27006 -0.962844 0
1624 -0.27006 -0.962844 0
1625 -0.27006 -0.962844 0
1626 -0.27006 -0.962844 0
1627 -0.27006 -0.962844 0
1628 -0.27006 -0.962844 0
1629 -0.27006 -0.962844 0
1630 -0.27006 -0.962844 0
1631 -0.27006 -0.962844 0
1632 -0.27006 -0.962844 0
1633 -0.227199 -0.973848 0
1634 -0.227199 -0.973848 0
1635 -0.227199 -0.973848 0
1636 -0.227199 -0.973848 0
1637 -0.227199 -0.973848 0
1638 -0.227199 -0.973848 0
1639 -0.227199 -0.973848 0
1640 -0.227199 -0.973848 0
1641 -0.227199 -0.973848 0
1642 -0.227199 -0.973848 0
1643 -0.227199 -0.973848 0
1644 -0.227199 -0.973848 0
1645 -0.227199 -0.973848 0
1646 -0.227199 -0.973848 0
1647 -0.227199 -0.973848 0
1648 -0.227199 -0.973848 0
1649 -0.227199 -0.973848 0
1650 -0.227199 -0.973848 0
1651 -0.227199 -0.973848 0
1652 -0.227199 -0.973848 0
1653 -0.227199 -0.973848 0
1654 -0.227199 -0.973848 0
1655 -0.227199 -0.973848 0
1656 -0.227199 -0.973848 0
1657 -0.227199 -0.973848 0
1658 -0.227199 -0.973848 0
1659 -0.227199 -0.973848 0
1660 -0.227199 -0.973848 0
1661 -0.227199 -0.973848 0
1662 -0.227199 -0.973848 0
1663 -0.227199 -0.973848 0
1664 -0.227199 -0.973848 0
1665 -0.227199 -0.973848 0
1666 -0.227199 -0.973848 0
1667 -0.227199 -0.973848 0
1668 -0.227199 -0.973848 0
1669 -0.227199 -0.973848 0
1670 -0.227199 -0.973848 0
1671 -0.227199 -0.973848 0
1672 -0.227199 -0.973848 0
1673 -0.227199 -0.973848 0
1674 -0.227199 -0.973848 0
1675 -0.227199 -0.973848 0
1676 -0.227199 -0.973848 0
1677 -0.227199 -0.973848 0
1678 -0.227199 -0.973848 0
1679 -0.227199 -0.973848 0
1680 -0.227199 -0.973848 0
1681 -0.227199 -0.973848 0
1682 -0.227199 -0.973848 0
1683 -0.227199 -0.973848 0
1684 -0.187381 -0.982287 0
1685 -0.187381 -0.982287 0
1686 -0.187381 -0.982287 0
1687 -0.187381 -0.982287 0
1688 -0.187381 -0.982287 0
1689 -0.187381 -0.982287 0
1690 -0.187381 -0.982287 0
1691 -0.187381 -0.982287 0
1692 -0.187381 -0.982287 0
1693 -0.187381 -0.982287 0
1694 -0.187381 -0.982287 0
1695 -0.187381 -0.982287 0
1696 -0.187381 -0.982287 0
1697 -0.187381 -0.982287 0
1698 -0.187381 -0.982287 0
1699 -0.187381 -0.982287 0
